"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.869077,
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.201011,
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",1.441278,
"DNK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.766192,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.813473,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",2.349147,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",2.516491,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.977002,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-0.055264,
"FIN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-0.799667,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.811302,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.279427,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",2.109769,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.409723,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.390128,
"FRA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.27366,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.509462,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.355337,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.782613,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.039718,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.36753,
"DEU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.383302,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",3.352252,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-4.157632,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.59297,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.76567,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.959247,
"GRC","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",3.324306,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.710434,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-2.318509,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",3.09919,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",4.111836,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.97798,
"HUN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.802531,
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.680352,
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.109382,
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.814014,
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.386912,
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.801557,
"ISL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.328426,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",19.880842,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-1.187031,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",5.04818,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",5.264621,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.584677,
"IRL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",9.228331,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.059368,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.307394,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.645094,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.003394,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.040819,
"ITA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",2.356754,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",2.011117,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.100485,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.913891,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.528757,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",1.556556,
"JPN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",1.098245,"E"
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.365689,
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",2.785021,
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",4.466796,
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",3.820278,
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.158228,
"KOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",2.933593,"E"
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.189289,
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.594367,
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",-1.130072,
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.582931,
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-1.271785,
"LUX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",2.072345,
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.577446,"E"
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.393125,"E"
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.533542,"E"
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.471354,"E"
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-1.886842,"E"
"MEX","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-0.709654,"E"
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.982921,
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.155939,
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.543902,
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.32107,
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-0.171196,
"NLD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-1.139488,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",2.490877,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.980992,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.185494,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.263321,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-1.093999,
"NZL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.056881,"E"
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.290595,
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.591029,
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",2.13442,
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.404124,
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-0.94857,
"NOR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",1.459468,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.47065,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",4.042998,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",4.763241,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",6.134181,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",5.23939,
"POL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-1.941395,
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-0.01153,
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.10612,
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.794666,
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.118853,
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",1.290777,
"PRT","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",1.768036,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",3.106813,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.565757,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",2.308536,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.197302,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.167201,
"SVK","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",4.487581,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.791017,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.45087,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.871648,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.23598,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.389383,
"ESP","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-0.45113,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",2.895448,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.598324,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",0.931869,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.328086,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.361114,
"SWE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.439222,
"CHE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-0.747761,
"CHE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.598803,
"CHE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.98948,
"CHE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.620078,
"CHE","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.601278,
"TUR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",3.010931,"E"
"TUR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.0557,"E"
"TUR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",3.937658,"E"
"TUR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.771515,"E"
"TUR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.132557,"E"
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.742367,
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.79339,
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.069108,
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.057904,
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.218687,
"GBR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",1.919914,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.947365,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.326869,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.024949,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",1.161857,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",1.290731,
"USA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",3.467168,"E"
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.751703,
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.44408,
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",-0.057212,
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.702617,
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.960581,
"CHL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",13.571733,"E"
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-0.5508,
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",2.657578,
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",2.678169,
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",5.70066,
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",4.475187,
"EST","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",3.222193,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-0.094822,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.116934,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.150956,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.119079,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.534878,
"ISR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",5.913109,
"RUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-2.692989,
"RUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.301006,
"RUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.676255,
"RUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.969791,
"RUS","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.143792,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.557417,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",3.474614,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",3.721742,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.587954,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.509862,
"SVN","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.851571,
"OECD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.163538,
"OECD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.469852,
"OECD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.552693,
"OECD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.971869,
"OECD","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",1.226962,
"EU28","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.430451,
"EU28","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.292359,
"EU28","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.586039,
"EU28","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.72852,
"EU28","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.730077,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.125719,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.294196,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.205852,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.792618,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",1.094262,
"G-7","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",2.65841,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",4.533382,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",2.623308,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",4.162985,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",1.853356,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.998455,
"LVA","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",2.060687,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",-0.769281,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-0.998425,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",7.384287,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.096756,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.799677,
"LTU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",5.054734,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.086953,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.29837,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.492668,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.198729,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.478608,
"EA19","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",1.373966,
"ZAF","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",9.841932,"E"
"ZAF","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",-11.597021,"E"
"ZAF","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",-0.055924,"E"
"ZAF","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",-0.337818,"E"
"ZAF","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.419665,"E"
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",3.215565,
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",4.38458,
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",2.358197,
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",1.292773,
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",2.511722,
"CRI","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",14.910556,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",3.60598,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",3.359295,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.700361,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",3.118632,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.301531,
"BGR","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.59002,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",4.701618,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",2.811041,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.563934,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.909938,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",-1.651036,
"HRV","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-6.707351,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",4.669416,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",4.529363,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",6.176291,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",4.313345,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",3.931833,
"ROU","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",-2.296046,
"EU27_2020","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",1.388651,
"EU27_2020","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",0.458083,
"EU27_2020","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.729458,
"EU27_2020","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",0.801024,
"EU27_2020","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",0.95578,
"EU27_2020","GDPCAPCONTR","LPRDTY","AGRWTH","A","2020",0.401333,
"COL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2015",0.945013,
"COL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2016",1.880426,
"COL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2017",1.692382,
"COL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2018",2.276295,
"COL","GDPCAPCONTR","LPRDTY","AGRWTH","A","2019",4.578224,
