"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GDPHRWKD","TOT","IDX2015","A","2017",103.162111,
"DEU","GDPHRWKD","TOT","IDX2015","A","2018",103.203085,
"DEU","GDPHRWKD","TOT","IDX2015","A","2019",103.582387,
"DEU","GDPHRWKD","TOT","IDX2015","A","2020",103.97942,
"GRC","GDPHRWKD","TOT","IDX2015","A","2016",95.842368,
"GRC","GDPHRWKD","TOT","IDX2015","A","2017",97.369108,
"GRC","GDPHRWKD","TOT","IDX2015","A","2018",96.623582,
"GRC","GDPHRWKD","TOT","IDX2015","A","2019",99.482912,
"GRC","GDPHRWKD","TOT","IDX2015","A","2020",102.790029,
"HUN","GDPHRWKD","TOT","IDX2015","A","2016",97.681491,
"HUN","GDPHRWKD","TOT","IDX2015","A","2017",100.708825,
"HUN","GDPHRWKD","TOT","IDX2015","A","2018",104.849808,
"HUN","GDPHRWKD","TOT","IDX2015","A","2019",109.020712,
"HUN","GDPHRWKD","TOT","IDX2015","A","2020",109.895637,
"ISL","GDPHRWKD","TOT","IDX2015","A","2016",101.109382,
"ISL","GDPHRWKD","TOT","IDX2015","A","2017",101.932426,
"ISL","GDPHRWKD","TOT","IDX2015","A","2018",104.365464,
"ISL","GDPHRWKD","TOT","IDX2015","A","2019",108.332977,
"ISL","GDPHRWKD","TOT","IDX2015","A","2020",108.68877,
"IRL","GDPHRWKD","TOT","IDX2015","A","2016",98.812969,
"IRL","GDPHRWKD","TOT","IDX2015","A","2017",103.801225,
"IRL","GDPHRWKD","TOT","IDX2015","A","2018",109.265966,
"IRL","GDPHRWKD","TOT","IDX2015","A","2019",112.090138,
"IRL","GDPHRWKD","TOT","IDX2015","A","2020",122.434186,
"ITA","GDPHRWKD","TOT","IDX2015","A","2016",99.692606,
"ITA","GDPHRWKD","TOT","IDX2015","A","2017",100.335718,
"ITA","GDPHRWKD","TOT","IDX2015","A","2018",100.339124,
"ITA","GDPHRWKD","TOT","IDX2015","A","2019",100.380081,
"ITA","GDPHRWKD","TOT","IDX2015","A","2020",102.745793,
"JPN","GDPHRWKD","TOT","IDX2015","A","2016",100.100485,
"JPN","GDPHRWKD","TOT","IDX2015","A","2017",101.015295,
"JPN","GDPHRWKD","TOT","IDX2015","A","2018",101.54942,
"JPN","GDPHRWKD","TOT","IDX2015","A","2019",103.130094,
"JPN","GDPHRWKD","TOT","IDX2015","A","2020",104.262715,"E"
"KOR","GDPHRWKD","TOT","IDX2015","A","2016",102.785021,
"KOR","GDPHRWKD","TOT","IDX2015","A","2017",107.376218,
"KOR","GDPHRWKD","TOT","IDX2015","A","2018",111.478289,
"KOR","GDPHRWKD","TOT","IDX2015","A","2019",113.884244,
"KOR","GDPHRWKD","TOT","IDX2015","A","2020",117.225144,"E"
"LUX","GDPHRWKD","TOT","IDX2015","A","2016",101.594367,
"LUX","GDPHRWKD","TOT","IDX2015","A","2017",100.446278,
"LUX","GDPHRWKD","TOT","IDX2015","A","2018",99.860746,
"LUX","GDPHRWKD","TOT","IDX2015","A","2019",98.590731,
"LUX","GDPHRWKD","TOT","IDX2015","A","2020",100.633871,
"MEX","GDPHRWKD","TOT","IDX2015","A","2016",100.393125,"E"
"MEX","GDPHRWKD","TOT","IDX2015","A","2017",100.928764,"E"
"MEX","GDPHRWKD","TOT","IDX2015","A","2018",100.453032,"E"
"MEX","GDPHRWKD","TOT","IDX2015","A","2019",98.557643,"E"
"MEX","GDPHRWKD","TOT","IDX2015","A","2020",97.858225,"E"
"NLD","GDPHRWKD","TOT","IDX2015","A","2016",99.844061,
"NLD","GDPHRWKD","TOT","IDX2015","A","2017",100.387115,
"NLD","GDPHRWKD","TOT","IDX2015","A","2018",100.064801,
"NLD","GDPHRWKD","TOT","IDX2015","A","2019",99.893494,
"NLD","GDPHRWKD","TOT","IDX2015","A","2020",98.75522,
"NZL","GDPHRWKD","TOT","IDX2015","A","2016",99.019008,
"NZL","GDPHRWKD","TOT","IDX2015","A","2017",99.202682,
"NZL","GDPHRWKD","TOT","IDX2015","A","2018",101.447958,
"NZL","GDPHRWKD","TOT","IDX2015","A","2019",100.338118,
"NZL","GDPHRWKD","TOT","IDX2015","A","2020",100.395192,"E"
"NOR","GDPHRWKD","TOT","IDX2015","A","2016",100.591029,
"NOR","GDPHRWKD","TOT","IDX2015","A","2017",102.738064,
"NOR","GDPHRWKD","TOT","IDX2015","A","2018",102.322875,
"NOR","GDPHRWKD","TOT","IDX2015","A","2019",101.352271,
"NOR","GDPHRWKD","TOT","IDX2015","A","2020",102.831475,
"POL","GDPHRWKD","TOT","IDX2015","A","2016",104.042998,
"POL","GDPHRWKD","TOT","IDX2015","A","2017",108.998817,
"POL","GDPHRWKD","TOT","IDX2015","A","2018",115.685002,
"POL","GDPHRWKD","TOT","IDX2015","A","2019",121.74619,
"POL","GDPHRWKD","TOT","IDX2015","A","2020",119.382615,
"PRT","GDPHRWKD","TOT","IDX2015","A","2016",100.10612,
"PRT","GDPHRWKD","TOT","IDX2015","A","2017",100.90163,
"PRT","GDPHRWKD","TOT","IDX2015","A","2018",100.781705,
"PRT","GDPHRWKD","TOT","IDX2015","A","2019",102.082573,
"PRT","GDPHRWKD","TOT","IDX2015","A","2020",103.887429,
"SVK","GDPHRWKD","TOT","IDX2015","A","2016",100.565757,
"SVK","GDPHRWKD","TOT","IDX2015","A","2017",102.887354,
"SVK","GDPHRWKD","TOT","IDX2015","A","2018",105.1481,
"SVK","GDPHRWKD","TOT","IDX2015","A","2019",107.426871,
"SVK","GDPHRWKD","TOT","IDX2015","A","2020",112.247738,
"ESP","GDPHRWKD","TOT","IDX2015","A","2016",100.45087,
"ESP","GDPHRWKD","TOT","IDX2015","A","2017",101.326447,
"ESP","GDPHRWKD","TOT","IDX2015","A","2018",101.087337,
"ESP","GDPHRWKD","TOT","IDX2015","A","2019",101.480954,
"ESP","GDPHRWKD","TOT","IDX2015","A","2020",101.023143,
"SWE","GDPHRWKD","TOT","IDX2015","A","2016",99.401676,
"SWE","GDPHRWKD","TOT","IDX2015","A","2017",100.32797,
"SWE","GDPHRWKD","TOT","IDX2015","A","2018",100.657132,
"SWE","GDPHRWKD","TOT","IDX2015","A","2019",103.033762,
"SWE","GDPHRWKD","TOT","IDX2015","A","2020",103.486309,
"CHE","GDPHRWKD","TOT","IDX2015","A","2016",100.598803,
"CHE","GDPHRWKD","TOT","IDX2015","A","2017",102.600196,
"CHE","GDPHRWKD","TOT","IDX2015","A","2018",105.288401,
"CHE","GDPHRWKD","TOT","IDX2015","A","2019",105.921477,
"TUR","GDPHRWKD","TOT","IDX2015","A","2016",101.0557,"E"
"TUR","GDPHRWKD","TOT","IDX2015","A","2017",105.034928,"E"
"TUR","GDPHRWKD","TOT","IDX2015","A","2018",105.845288,"E"
"TUR","GDPHRWKD","TOT","IDX2015","A","2019",109.160952,"E"
"GBR","GDPHRWKD","TOT","IDX2015","A","2016",99.20661,
"GBR","GDPHRWKD","TOT","IDX2015","A","2017",100.267236,
"GBR","GDPHRWKD","TOT","IDX2015","A","2018",100.325295,
"GBR","GDPHRWKD","TOT","IDX2015","A","2019",100.544694,
"GBR","GDPHRWKD","TOT","IDX2015","A","2020",102.475066,
"USA","GDPHRWKD","TOT","IDX2015","A","2016",100.326869,
"USA","GDPHRWKD","TOT","IDX2015","A","2017",101.355168,
"USA","GDPHRWKD","TOT","IDX2015","A","2018",102.53277,
"USA","GDPHRWKD","TOT","IDX2015","A","2019",103.856192,
"USA","GDPHRWKD","TOT","IDX2015","A","2020",107.457061,"E"
"BGR","GDPHRWKD","TOT","IDX2015","A","2016",103.359295,
"BGR","GDPHRWKD","TOT","IDX2015","A","2017",105.116775,
"BGR","GDPHRWKD","TOT","IDX2015","A","2018",108.394981,
"BGR","GDPHRWKD","TOT","IDX2015","A","2019",111.973675,
"BGR","GDPHRWKD","TOT","IDX2015","A","2020",112.634343,
"CHL","GDPHRWKD","TOT","IDX2015","A","2016",101.44408,
"CHL","GDPHRWKD","TOT","IDX2015","A","2017",101.386041,
"CHL","GDPHRWKD","TOT","IDX2015","A","2018",104.126118,
"CHL","GDPHRWKD","TOT","IDX2015","A","2019",105.126334,
"CHL","GDPHRWKD","TOT","IDX2015","A","2020",119.393799,"E"
"CRI","GDPHRWKD","TOT","IDX2015","A","2016",104.38458,
"CRI","GDPHRWKD","TOT","IDX2015","A","2017",106.846175,
"CRI","GDPHRWKD","TOT","IDX2015","A","2018",108.227453,
"CRI","GDPHRWKD","TOT","IDX2015","A","2019",110.945826,
"CRI","GDPHRWKD","TOT","IDX2015","A","2020",127.488466,
"HRV","GDPHRWKD","TOT","IDX2015","A","2016",102.811041,
"HRV","GDPHRWKD","TOT","IDX2015","A","2017",104.418939,
"HRV","GDPHRWKD","TOT","IDX2015","A","2018",105.369086,
"HRV","GDPHRWKD","TOT","IDX2015","A","2019",103.629405,
"HRV","GDPHRWKD","TOT","IDX2015","A","2020",96.678617,
"EST","GDPHRWKD","TOT","IDX2015","A","2016",102.657578,
"EST","GDPHRWKD","TOT","IDX2015","A","2017",105.406921,
"EST","GDPHRWKD","TOT","IDX2015","A","2018",111.415812,
"EST","GDPHRWKD","TOT","IDX2015","A","2019",116.401877,
"EST","GDPHRWKD","TOT","IDX2015","A","2020",120.15257,
"ISR","GDPHRWKD","TOT","IDX2015","A","2016",100.116934,
"ISR","GDPHRWKD","TOT","IDX2015","A","2017",101.269236,
"ISR","GDPHRWKD","TOT","IDX2015","A","2018",103.415211,
"ISR","GDPHRWKD","TOT","IDX2015","A","2019",106.036661,
"ISR","GDPHRWKD","TOT","IDX2015","A","2020",112.306725,
"LVA","GDPHRWKD","TOT","IDX2015","A","2016",102.623308,
"LVA","GDPHRWKD","TOT","IDX2015","A","2017",106.895501,
"LVA","GDPHRWKD","TOT","IDX2015","A","2018",108.876655,
"LVA","GDPHRWKD","TOT","IDX2015","A","2019",113.230039,
"LVA","GDPHRWKD","TOT","IDX2015","A","2020",115.563355,
"LTU","GDPHRWKD","TOT","IDX2015","A","2016",99.001575,
"LTU","GDPHRWKD","TOT","IDX2015","A","2017",106.312135,
"LTU","GDPHRWKD","TOT","IDX2015","A","2018",108.541241,
"LTU","GDPHRWKD","TOT","IDX2015","A","2019",112.665458,
"LTU","GDPHRWKD","TOT","IDX2015","A","2020",118.360397,
"ROU","GDPHRWKD","TOT","IDX2015","A","2016",104.529363,
"ROU","GDPHRWKD","TOT","IDX2015","A","2017",110.985401,
"ROU","GDPHRWKD","TOT","IDX2015","A","2018",115.772584,
"ROU","GDPHRWKD","TOT","IDX2015","A","2019",120.324569,
"ROU","GDPHRWKD","TOT","IDX2015","A","2020",117.561862,
"RUS","GDPHRWKD","TOT","IDX2015","A","2016",100.301006,
"RUS","GDPHRWKD","TOT","IDX2015","A","2017",101.982307,
"RUS","GDPHRWKD","TOT","IDX2015","A","2018",105.010968,
"RUS","GDPHRWKD","TOT","IDX2015","A","2019",108.312295,
"SVN","GDPHRWKD","TOT","IDX2015","A","2016",103.474614,
"SVN","GDPHRWKD","TOT","IDX2015","A","2017",107.325672,
"SVN","GDPHRWKD","TOT","IDX2015","A","2018",110.103211,
"SVN","GDPHRWKD","TOT","IDX2015","A","2019",110.664585,
"SVN","GDPHRWKD","TOT","IDX2015","A","2020",111.606973,
"ZAF","GDPHRWKD","TOT","IDX2015","A","2016",88.402979,"E"
"ZAF","GDPHRWKD","TOT","IDX2015","A","2017",88.353541,"E"
"ZAF","GDPHRWKD","TOT","IDX2015","A","2018",88.055067,"E"
"ZAF","GDPHRWKD","TOT","IDX2015","A","2019",88.424603,"E"
"EU28","GDPHRWKD","TOT","IDX2015","A","2016",100.292359,
"EU28","GDPHRWKD","TOT","IDX2015","A","2017",101.883035,
"EU28","GDPHRWKD","TOT","IDX2015","A","2018",102.625273,
"EU28","GDPHRWKD","TOT","IDX2015","A","2019",103.374516,
"OECD","GDPHRWKD","TOT","IDX2015","A","2016",100.469852,
"OECD","GDPHRWKD","TOT","IDX2015","A","2017",102.02984,
"OECD","GDPHRWKD","TOT","IDX2015","A","2018",103.021436,
"OECD","GDPHRWKD","TOT","IDX2015","A","2019",104.28547,
"G-7","GDPHRWKD","TOT","IDX2015","A","2016",100.294196,
"G-7","GDPHRWKD","TOT","IDX2015","A","2017",101.503596,
"G-7","GDPHRWKD","TOT","IDX2015","A","2018",102.308132,
"G-7","GDPHRWKD","TOT","IDX2015","A","2019",103.427652,
"G-7","GDPHRWKD","TOT","IDX2015","A","2020",106.177182,
"EA19","GDPHRWKD","TOT","IDX2015","A","2016",100.29837,
"EA19","GDPHRWKD","TOT","IDX2015","A","2017",101.795492,
"EA19","GDPHRWKD","TOT","IDX2015","A","2018",101.99779,
"EA19","GDPHRWKD","TOT","IDX2015","A","2019",102.48596,
"EA19","GDPHRWKD","TOT","IDX2015","A","2020",103.894082,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2016",100.458083,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2017",102.195464,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2018",103.014074,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2019",103.998662,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2020",104.416043,
"COL","GDPHRWKD","TOT","IDX2015","A","2016",101.880426,
"COL","GDPHRWKD","TOT","IDX2015","A","2017",103.604632,
"COL","GDPHRWKD","TOT","IDX2015","A","2018",105.962979,
"COL","GDPHRWKD","TOT","IDX2015","A","2019",110.814201,
